**** DÉBUT DU JOURNAL À Tue May  1 18:29:18 2007

mai 01 18:30:13 *	tiav est parti (Success)
sep 26 20:30:03 *	Sujet de #debian-fr défini par kolter le Fri Sep 14 21:05:57 2007
sep 26 20:30:03 *	#debian-fr :[freenode-info] if you need to send private messages, please register: http://freenode.net/faq.shtml#privmsg
sep 26 20:34:30 <mickey08>	ptitlouis> pas grave
sep 26 20:34:38 <mickey08>	gamay c un cépage de vin rouge
sep 26 20:34:49 <mickey08>	croix rouge / croix gamay / crois gammée...
sep 26 20:34:53 <mickey08>	ca vole pas haut
sep 26 20:34:54 <ptitlouis>	ah
sep 26 20:35:01 *	ptitlouis pas fort en vin rouge
sep 26 20:36:52 *	kioob (n=kioob@luuna.daevel.net) a rejoint #Debian-fr
sep 26 20:37:15 <kioob>	boujour
sep 26 20:37:26 <ptitlouis>	non
sep 26 20:37:31 <ptitlouis>	tu as oublié le --all
sep 26 20:37:46 <kioob>	grande nouvelle : ça marche :p
sep 26 20:46:49 *	gutts (n=gutts@ALyon-252-1-45-39.w82-122.abo.wanadoo.fr) a rejoint #debian-fr
sep 26 20:54:08 *	TrueDD (n=dsimon@dan75-2-82-67-149-198.fbx.proxad.net) a rejoint #debian-fr
sep 26 20:54:26 <TrueDD>	Salut à tous
sep 26 21:03:32 <kioob>	hello
sep 26 21:06:11 *	yoan est parti ()
sep 26 21:11:26 *	TrueDD s'appelle maintenant TrueDD_
sep 26 21:11:50 *	TrueDD_ s'appelle maintenant TrueDD
sep 26 21:12:02 *	Zanton est parti (Remote closed the connection)
sep 26 21:12:04 *	TrueDD s'appelle maintenant TrueDDatable
sep 26 21:13:14 <kioob>	y a moyen d'ajouter une icone dans les fenetres (à gauche des trois icones classiques minimize / maximize / close) pour passer la fenetre d'un écran à l'autre ?
sep 26 21:13:28 <kioob>	j'avais ça sous win, et ça me manque cruellement
sep 26 21:13:31 <ptitlouis>	ECHAN
sep 26 21:13:46 <arnaud_>	+1
sep 26 21:13:54 <kioob>	merci
sep 26 21:14:05 <ptitlouis>	arnaud_: +42 meme
sep 26 21:14:16 <arnaud_>	ou +12
sep 26 21:14:20 <arnaud_>	fait froid putain
sep 26 21:14:22 *	pikapika (n=pikapika@88.164.227.147) a rejoint #debian-fr
sep 26 21:14:27 <arnaud_>	vais démarrer le bi opteron
sep 26 21:14:35 <ptitlouis>	:)
sep 26 21:14:42 <ptitlouis>	sympa le chauffage d'appoint :)
sep 26 21:14:58 <pikapika>	yo
sep 26 21:15:00 <arnaud_>	j'ai une carte raid à tester en plus :)
sep 26 21:19:44 <kioob>	sans vouloir jouer le lourd, je ne trouve rien sur "ECHAN" :$
sep 26 21:20:07 *	Touns_AW est parti (Remote closed the connection)
sep 26 21:20:11 <arnaud_>	rtft
sep 26 21:20:35 <pikapika>	ahah
sep 26 21:20:37 <ptitlouis>	lol
sep 26 21:20:47 <kioob>	"read the fucking topic" ? :D
sep 26 21:20:50 <arnaud_>	yeah
sep 26 21:21:24 <kioob>	et sans parler "support", pas le droit de demander conseil tout simplement ?
sep 26 21:21:28 <arnaud_>	mmmmh
sep 26 21:21:31 <ptitlouis>	non
sep 26 21:21:38 <arnaud_>	à part pour un choix entre exposed et dismissed, non
sep 26 21:22:05 <ptitlouis>	et next !
sep 26 21:22:07 <ptitlouis>	(sans oublier the beauty and the geek :)
sep 26 21:22:18 <kioob>	vive la communauté :p
sep 26 21:22:57 <manuel>	et à bas arnaud_
sep 26 21:23:13 <arnaud_>	méheu
sep 26 21:23:13 <ptitlouis>	kioob: quelle communauté ? celle de ta maman ?
sep 26 21:23:15 <arnaud_>	manuel: vilain
sep 26 21:23:35 <kioob>	mais genre...
sep 26 21:24:05 <ptitlouis>	…
sep 26 21:25:12 *	sputnick est parti (Read error: 110 (Connection timed out))
sep 26 21:25:50 <manuel>	arnaud_: hétéro
sep 26 21:25:59 <VaLouille>	+1
sep 26 21:26:00 *	sputnick (n=sputnick@unaffiliated/sputnick) a rejoint #debian-fr
sep 26 21:31:57 *	JulHer est parti ("Abandonando")
sep 26 21:36:55 *	tibal est parti (Remote closed the connection)
sep 26 21:37:43 *	tibal (n=tibal@vbo91.hd.free.fr) a rejoint #debian-fr
sep 26 21:44:28 <pikapika>	et hero
sep 26 21:44:40 <arnaud_>	hero, petit patapo ?
sep 26 21:45:39 *	Laifen est parti ("Parti")
sep 26 21:46:00 <pikapika>	hero hero et petit fix d'hero
sep 26 21:46:13 <VaLouille>	:)
sep 26 21:46:14 <arnaud_>	ha ue
sep 26 21:46:33 <arnaud_>	kennedy quoi
sep 26 21:46:54 *	captainchris est parti ("Quitte")
sep 26 21:47:05 <pikapika>	o toole
sep 26 21:47:25 *	TrueDDatable s'appelle maintenant TrueDD
sep 26 21:53:09 *	gutts est parti (Read error: 104 (Connection reset by peer))
sep 26 21:53:39 *	gutts (n=gutts@ALyon-252-1-45-39.w82-122.abo.wanadoo.fr) a rejoint #debian-fr
sep 26 21:54:38 *	gutts est parti (SendQ exceeded)
sep 26 21:54:57 *	gutts (n=gutts@ALyon-252-1-45-39.w82-122.abo.wanadoo.fr) a rejoint #debian-fr
sep 26 21:57:58 *	gutts est parti (Remote closed the connection)
sep 26 22:04:03 *	gutts (n=gutts@ALyon-252-1-45-39.w82-122.abo.wanadoo.fr) a rejoint #debian-fr
sep 26 22:06:13 *	cyberj (n=cyberj@mjdongeon.arcagenis.org) a rejoint #debian-fr
sep 26 22:08:24 *	EtAlors (n=bad@gob75-7-82-247-115-200.fbx.proxad.net) a rejoint #debian-fr
sep 26 22:08:56 *	captainchris (n=captainc@ANice-256-1-75-165.w90-4.abo.wanadoo.fr) a rejoint #debian-fr
sep 26 22:09:07 <captainchris>	bon voila c bon
sep 26 22:09:26 <captainchris>	clear cmos , j'ai remis la carte sur le port pci 1 et la il a reconnu avec alsa
sep 26 22:09:48 <captainchris>	en tout les k , merci les gars de votre aide et soutin
sep 26 22:15:29 <cyberj>	Petites questions (simple?) je viens de Gentoo, j'ai un laptop de type amd64 que j'uttilise pour le desktop, j'hésites a le passer sous débian mais avant, pourriez vous me dire plus d'infos sur : la façon dont debian gere le multilib? l'unstable et la testing sont elles assez viables en desktop? pouvoir n'installer que les libs kde en zappant celles de gnome? Merci d'avance
sep 26 22:16:05 <ptitlouis>	fais toi un chroot et test…
sep 26 22:17:56 <pikapika>	ou un xen
sep 26 22:18:11 <ptitlouis>	nan pas xen
sep 26 22:18:48 <pikapika>	pourquoi ?
sep 26 22:19:01 <cyberj>	Si je commence  l'emuler je tomberai sur des emulateurs 32 bits
sep 26 22:19:11 <ptitlouis>	c'est de la daube en boite ce truc
sep 26 22:26:12 *	gutts est parti ("WeeChat 0.2.6")
sep 26 22:34:08 *	ylrahc (n=charly@fny94-1-82-67-168-149.fbx.proxad.net) a rejoint #debian-fr
sep 26 22:36:53 <mickey08>	hop
sep 26 22:36:55 *	mickey08 est parti ("Yeahhhhhhhhhhhhh JAMAIS")
sep 26 22:47:21 *	keulin (n=cray@ifth-pdcr2.infotheme.fr) a rejoint #debian-fr
sep 26 22:48:50 *	Mr_Julien (n=Julien_@cor80-1-88-173-96-61.fbx.proxad.net) a rejoint #debian-fr
**** FIN DU JOURNAL À Wed Sep 26 22:51:23 2007

**** DÉBUT DU JOURNAL À Sat Sep 29 14:46:07 2007

sep 29 14:46:07 *	Vous parlez maintenant sur #debian-fr
sep 29 14:46:07 *	Le sujet de #debian-fr est : Casse-toi d'ici, Maintenant C'est Mon Canal !! Ce chan n'est pas un channel de support, ni d'entraide, si t'as besoin d'aide, demande a ta maman, sinon #debian-fr@oftc ou #debianfr || Merci de parler correctement francais : pas de sms, lol et autres kikoo.
sep 29 14:46:07 *	Sujet de #debian-fr défini par Gniarf le Thu Sep 27 02:03:26 2007
sep 29 14:46:38 *	Jonk_ (i=Jonk_@gateway/tor/x-a4091dfcc199a962) a rejoint #debian-fr
sep 29 14:56:10 *	mardi_ (n=mardi_so@AReims-157-1-133-136.w90-18.abo.wanadoo.fr) a rejoint #debian-fr
sep 29 14:57:25 *	mardi_soir est parti (Connection timed out)
sep 29 14:57:36 *	mardi_ s'appelle maintenant mardi_soir
sep 29 15:02:51 *	mardi_ (n=mardi_so@AReims-157-1-2-83.w86-207.abo.wanadoo.fr) a rejoint #debian-fr
sep 29 15:05:37 *	Saelynh (n=saelynh@cha92-11-82-243-247-67.fbx.proxad.net) a rejoint #debian-fr
sep 29 15:08:01 *	BibcHooN est parti (Remote closed the connection)
sep 29 15:11:49 *	Gniarf (i=gniarf@gniarf.net1.nerim.net) a rejoint #debian-fr
sep 29 15:14:15 *	Sano est parti (Remote closed the connection)
sep 29 15:16:45 *	mardi_soir est parti (Read error: 110 (Connection timed out))
sep 29 15:19:28 *	tatoo est parti ("Quitte")
sep 29 15:20:17 *	Sano (n=sano@mol92-4-82-227-96-95.fbx.proxad.net) a rejoint #debian-fr
sep 29 15:23:12 *	mardi_ est parti (Read error: 110 (Connection timed out))
**** FIN DU JOURNAL À Sat Sep 29 15:24:09 2007

**** DÉBUT DU JOURNAL À Sun Sep 30 13:51:17 2007

sep 30 13:51:17 *	Vous parlez maintenant sur #debian-fr
sep 30 13:51:17 *	Le sujet de #debian-fr est : Casse-toi d'ici, Maintenant C'est Mon Canal !! Ce chan n'est pas un channel de support, ni d'entraide, si t'as besoin d'aide, demande a ta maman, sinon #debian-fr@oftc ou #debianfr || Merci de parler correctement francais : pas de sms, lol et autres kikoo.
sep 30 13:51:17 *	Sujet de #debian-fr défini par Gniarf le Thu Sep 27 02:03:26 2007
sep 30 14:02:06 *	nathan (n=nathan@ant06-1-82-242-109-5.fbx.proxad.net) a rejoint #debian-fr
sep 30 14:06:38 <ptitlouis>	yeah exposed version lesbienne \o/
sep 30 14:11:08 *	tibal (n=tibal@vbo91.hd.free.fr) a rejoint #debian-fr
sep 30 14:22:14 *	yoan (n=yoan@82.250.175.117) a rejoint #debian-fr
sep 30 14:22:41 *	jnjb (n=demo@dyn-83-157-51-182.ppp.tiscali.fr) a rejoint #debian-fr
sep 30 14:24:02 *	jnjb est parti (Client Quit)
sep 30 14:32:34 *	Sano est parti (Remote closed the connection)
**** DÉBUT DU JOURNAL À Sun Sep 30 14:56:04 2007

sep 30 14:56:04 *	Vous parlez maintenant sur #debian-fr
sep 30 14:56:04 *	Le sujet de #debian-fr est : Casse-toi d'ici, Maintenant C'est Mon Canal !! Ce chan n'est pas un channel de support, ni d'entraide, si t'as besoin d'aide, demande a ta maman, sinon #debian-fr@oftc ou #debianfr || Merci de parler correctement francais : pas de sms, lol et autres kikoo.
sep 30 14:56:04 *	Sujet de #debian-fr défini par Gniarf le Thu Sep 27 02:03:26 2007
sep 30 15:05:28 *	Shisui est parti (Read error: 104 (Connection reset by peer))
sep 30 15:09:56 *	TrueDD (n=dsimon@dan75-2-82-67-149-198.fbx.proxad.net) a rejoint #debian-fr
sep 30 15:11:29 <TrueDD>	Salut à tous
sep 30 15:13:54 *	Gniarf (i=gniarf@gniarf.net1.nerim.net) a rejoint #debian-fr
sep 30 15:21:50 *	tamiel est parti ("Leaving")
sep 30 15:22:17 *	yoan est parti ()
sep 30 15:24:12 *	tamiel (n=tamiel@ip-210.net-81-220-86.toulouse.rev.numericable.fr) a rejoint #debian-fr
sep 30 15:30:55 *	kartooon est parti (Remote closed the connection)
sep 30 15:31:48 *	kartooon (n=kartoon@unaffiliated/kartooon) a rejoint #debian-fr
sep 30 15:38:26 *	captainchris est parti (Read error: 104 (Connection reset by peer))
sep 30 15:42:31 *	b1aNcOp1aUz3 (n=b1aNcOp1@83.242.62.25) a rejoint #debian-fr
sep 30 15:42:31 <kikoolol>	b1aNcOp1aUz3 is 78% lame, be aware this person might be boring and should be kicked
sep 30 15:42:50 <b1aNcOp1aUz3>	o.o
sep 30 15:42:53 *	b1aNcOp1aUz3 (n=b1aNcOp1@83.242.62.25) a quitté #debian-fr
sep 30 15:42:53 <Sano>	:)
sep 30 15:42:56 <Sano>	yeah
sep 30 15:43:06 <Sano>	le nick-o-meter est de retour \o/
sep 30 15:43:33 <manuel>	!nickometer Sano
sep 30 15:43:33 <kikoolol>	Sano is 0% lame
sep 30 15:43:37 <manuel>	!nickometer VaLouille
sep 30 15:43:38 <kikoolol>	VaLouille is 0% lame
sep 30 15:43:42 <manuel>	mieux calibré
sep 30 15:43:45 <Sano>	wep
sep 30 15:43:49 <VaLouille>	beuh
sep 30 15:43:53 <VaLouille>	salut manuel
sep 30 15:43:54 <manuel>	coucou p'tit VaLouille :)
sep 30 15:54:09 *	Shisui (n=chris@AAmiens-152-1-3-21.w83-192.abo.wanadoo.fr) a rejoint #debian-fr
sep 30 15:57:57 <manuel>	ce qu'il y a de fun avec b1aNcOp1aUz3 c'est qu'en plus c'était un spammeur
sep 30 15:58:05 <manuel>	donc le nick-o-meter nous a débarassé :p
sep 30 15:58:59 <VaLouille>	il avait bien un nom de spammeur remarque
sep 30 15:59:47 <ptitlouis>	en meme temps le nickometer il a pas changé...
sep 30 15:59:53 <ptitlouis>	sauf qu'il vire plus les gens
sep 30 16:03:33 *	captainchris (n=captainc@ANice-256-1-10-75.w90-0.abo.wanadoo.fr) a rejoint #debian-fr
sep 30 16:13:42 <ptitlouis>	bon, y a tb&tg sur nrj12, on va bien rigoler :)
sep 30 16:18:19 <VaLouille>	hop NRJ12
sep 30 16:21:22 *	Subdino est parti ("leaving")
sep 30 16:25:23 <VaLouille>	les doublages donnent l'impression que les filles sont encore plus connes qu'en vrai
sep 30 16:25:58 <ptitlouis>	hehe
sep 30 16:28:32 <ptitlouis>	trop bien le compliment "a andrea, qui est la seule fille a pouvoir apprendre 27 chiffres de pi en moins d'une heure"
sep 30 16:29:26 <Gniarf>	moi je me les écris sur la bite
sep 30 16:29:34 <Gniarf>	et j'en mets plus que 27 \o/
sep 30 16:29:37 <VaLouille>	t'en écrit combien ?  3 ?
sep 30 16:31:35 <ptitlouis>	ralala les têtes \o/
sep 30 16:32:44 <Gniarf>	<Gniarf> et j'en mets plus que 27 \o/
sep 30 16:32:50 <Gniarf>	<VaLouille> t'en écrit combien ?  3 ?
sep 30 16:32:56 <Gniarf>	t'es lent, ou bien...
sep 30 16:32:59 <VaLouille>	tu lag
sep 30 16:34:42 <VaLouille>	mdr ils censurent les seins de la fille sur les dessin
sep 30 16:35:31 <ptitlouis>	j'adore l'explication du dessin de l'autre
sep 30 17:00:15 <michael__>	!nickometer michael__
sep 30 17:00:16 <kikoolol>	michael__ is 24% lame
sep 30 17:00:17 <michael__>	!
sep 30 17:00:30 *	michael__ s'appelle maintenant mickey08
sep 30 17:10:53 *	mardi_soir est parti (Read error: 104 (Connection reset by peer))
sep 30 17:23:31 <ptitlouis>	mon dieu l'autre qui découvre le déodorant
sep 30 17:23:33 <ptitlouis>	c'est énorme :]
sep 30 17:25:24 *	mardi_soir (n=mardi_so@unaffiliated/mardisoir/x-034521) a rejoint #debian-fr
sep 30 17:32:24 *	captainchris est parti (Read error: 104 (Connection reset by peer))
sep 30 17:33:13 <VaLouille>	tu as des animaux ? -Euh, du papier tue mouches
sep 30 17:33:27 *	captainchris (n=captainc@ANice-256-1-10-75.w90-0.abo.wanadoo.fr) a rejoint #debian-fr
sep 30 17:33:55 <ptitlouis>	:)
sep 30 17:34:34 *	TrueDD est parti (Remote closed the connection)
sep 30 17:34:50 *	TrueDD (n=dsimon@dan75-2-82-67-149-198.fbx.proxad.net) a rejoint #debian-fr
sep 30 17:35:12 <TrueDD>	re
sep 30 17:38:45 *	tamiel est parti ("Quitte")
sep 30 17:40:57 *	ludoRA (n=Ludovic@mut38-5-82-246-189-159.fbx.proxad.net) a rejoint #debian-fr
sep 30 17:41:08 *	tamiel (n=tamiel@ip-210.net-81-220-86.toulouse.rev.numericable.fr) a rejoint #debian-fr
sep 30 17:41:36 *	captainchris est parti (Read error: 104 (Connection reset by peer))
sep 30 17:42:41 *	captainchris (n=captainc@ANice-256-1-10-75.w90-0.abo.wanadoo.fr) a rejoint #debian-fr
sep 30 17:47:56 *	Touns est parti (Remote closed the connection)
sep 30 17:51:03 *	Zanton (n=simon@zanton.org) a rejoint #debian-fr
sep 30 17:51:48 <Sano>	cool
sep 30 17:51:54 <Sano>	les blues brothers ce soir
sep 30 17:52:03 <VaLouille>	ouaip
sep 30 17:52:09 <VaLouille>	jamais vu
sep 30 17:52:32 <VaLouille>	ma parole #debian-fr entier est branché sur nrj12 le dimanche aprèm !
sep 30 17:53:02 <Sano>	ah mais y'a dommage collatéral avec gouvernator sur france 2
sep 30 17:53:04 <Sano>	mmmhhh
sep 30 17:53:13 <Sano>	pour un fan de nanars comme moi, le dilemme est cruel
sep 30 17:53:17 *	Shisui est parti ("Quitte")
sep 30 17:53:19 <VaLouille>	et 36 quai des orfèvres
sep 30 17:53:55 <Sano>	wé bon, faut pas déconner non plus :p
sep 30 17:54:07 <captainchris>	c plus un chan debian ici?
sep 30 17:55:02 <VaLouille>	ça dépends d'europe2TV et d'NRJ12
sep 30 17:55:16 *	Zanton est parti (Remote closed the connection)
sep 30 18:21:02 <grirgz>	plop
sep 30 18:21:31 <ptitlouis>	VaLouille: :)
sep 30 18:22:39 <captainchris>	vive linux
sep 30 18:22:58 <grirgz>	mort a linux!
sep 30 18:23:14 <VaLouille>	pendons linux torvalds !
sep 30 18:26:48 <captainchris>	mais pourkoi ce chan n'est plsu debian ?
sep 30 18:27:09 <grirgz>	stoi le debian
sep 30 18:27:19 <VaLouille>	ouh, ça me plairait pas
sep 30 18:31:02 <captainchris>	debian et plus fort que toi , et tu pourra pasle renier
sep 30 18:31:11 <captainchris>	ahahaha in your face cognio
sep 30 18:31:21 <Gniarf>	"cognio" ?
sep 30 18:31:44 <captainchris>	ouaye cognio
sep 30 18:31:48 <captainchris>	van fan coulo
sep 30 18:32:13 <VaLouille>	va te hacer enculo on dit
sep 30 18:32:46 <Gniarf>	tout cela me parait très pertinent
sep 30 18:33:34 *	ChanServ donne l'état d'opérateur de canal à ptitlouis
sep 30 18:34:05 <captainchris>	loool
sep 30 18:34:05 *	kikoolol a expulsé captainchris de #debian-fr (go reroll pve noob)
sep 30 18:34:16 <Sano>	:)
sep 30 18:34:34 <VaLouille>	sadique Sano ;)
sep 30 18:34:43 <Sano>	mais non, mais non
sep 30 18:35:13 <Sano>	c'est comme voir quelqu'un se vautrer dans la rue, ça fait toujours sourire sur le coup :p
sep 30 18:35:51 <grirgz>	cogno.h ?
sep 30 18:36:45 *	ChanServ donne l'état d'opérateur de canal à Gniarf
sep 30 18:36:59 *	Nothing est parti (Remote closed the connection)
sep 30 18:37:11 <Sano>	VaLouille: et je dis ça en connaissance de cause, je me suis vautré y'a pas 3 jours
sep 30 18:37:28 <VaLouille>	moi hier en faisant des slams dans une haie avec des potes ..
sep 30 18:37:32 <Sano>	(il pleut tellement rarement à monaco que ces connard ont fait tous les trottoirs en carrelage)
sep 30 18:37:37 *	Nothing (i=nothing@staff.clipeo.net) a rejoint #debian-fr
sep 30 18:37:58 <Sano>	(du coup quand il flotte et que t'as pas de bonnes semelles)
sep 30 18:38:58 <snz>	mon dieu quelle problematique
sep 30 18:39:05 <snz>	vraiment à Monaco on a de gros problemes
sep 30 18:39:09 <snz>	quelle vie.
sep 30 18:39:15 <VaLouille>	:)
sep 30 18:39:19 <Sano>	bah, c'était juste un déplacement pro
sep 30 18:39:31 <ptitlouis>	ouais ou cacher l'argent
sep 30 18:40:47 <Sano>	n'empêche les trottoirs en carrelage, sapu
sep 30 18:41:05 <ptitlouis>	oué
sep 30 18:41:08 <ptitlouis>	pas assez cher
sep 30 18:41:09 <Sano>	mon coude a une couleur à mi chemin entre le schtroupf moisi et le bleu d'auvergne
sep 30 18:41:15 <Sano>	:(
sep 30 18:41:31 <ptitlouis>	je préfère le marbre
sep 30 18:44:38 <grirgz>	clair, un coude en marbre ca le fait
sep 30 18:45:30 *	ludoRA est parti (Remote closed the connection)
sep 30 18:47:50 *	pikapika (n=pikapika@mar75-8-88-164-227-147.fbx.proxad.net) a rejoint #debian-fr
sep 30 18:49:09 <pikapika>	yo
sep 30 19:00:27 *	tamiel est parti (Read error: 104 (Connection reset by peer))
sep 30 19:00:43 *	tamiel (n=tamiel@ip-210.net-81-220-86.toulouse.rev.numericable.fr) a rejoint #debian-fr
sep 30 19:00:46 *	tamiel est parti (Read error: 104 (Connection reset by peer))
sep 30 19:00:59 *	tamiel (n=tamiel@ip-210.net-81-220-86.toulouse.rev.numericable.fr) a rejoint #debian-fr
sep 30 19:10:11 *	gutts (n=gutts@ALyon-252-1-39-112.w82-122.abo.wanadoo.fr) a rejoint #debian-fr
sep 30 19:20:02 *	n4n (n=n4n@82.251.174.20) a rejoint #debian-fr
sep 30 19:25:27 *	zoXea est parti (Read error: 110 (Connection timed out))
sep 30 19:43:03 *	jnjb (n=nico@dyn-83-157-51-182.ppp.tiscali.fr) a rejoint #debian-fr
sep 30 19:43:05 *	tamiel est parti (Read error: 104 (Connection reset by peer))
sep 30 19:45:23 *	tamiel (n=tamiel@ip-210.net-81-220-86.toulouse.rev.numericable.fr) a rejoint #debian-fr
sep 30 19:46:21 <jnjb>	salut
sep 30 19:46:39 *	krionux (n=seb@86.67.10.49) a rejoint #debian-fr
sep 30 19:49:37 <krionux>	salut
sep 30 19:52:25 *	kutio (n=kutio@vig38-1-82-67-76-10.fbx.proxad.net) a rejoint #debian-fr
sep 30 19:57:31 *	krionux_ (n=seb@86.67.10.112) a rejoint #debian-fr
sep 30 19:57:31 *	tamiel est parti (Read error: 104 (Connection reset by peer))
sep 30 19:57:33 *	tamiel_ (n=tamiel@ip-210.net-81-220-86.toulouse.rev.numericable.fr) a rejoint #debian-fr
sep 30 20:01:16 *	popol (i=ludo@lns-bzn-55-82-255-167-55.adsl.proxad.net) a rejoint #debian-fr
sep 30 20:01:23 <popol>	bonjour
sep 30 20:05:24 *	VaLouille est parti ("adios TBH")
sep 30 20:05:27 *	tamiel_ est parti ("Leaving")
sep 30 20:05:32 *	VaLouille (n=valouill@mmenal.org) a rejoint #debian-fr
sep 30 20:07:25 *	krionux__ (n=seb@86.67.10.116) a rejoint #debian-fr
sep 30 20:08:02 *	tamiel (n=tamiel@ip-210.net-81-220-86.toulouse.rev.numericable.fr) a rejoint #debian-fr
sep 30 20:08:39 *	HackphiL s'appelle maintenant HackphiL-notburn
sep 30 20:11:33 *	jnjb est parti ("Lost terminal")
sep 30 20:12:04 *	kutio est parti ("Quitte")
sep 30 20:12:54 *	krionux est parti (Read error: 110 (Connection timed out))
sep 30 20:14:44 *	popol est parti ("Quitte")
sep 30 20:16:28 *	tamiel est parti ("Leaving")
sep 30 20:21:20 *	krionux (n=seb@86.67.10.146) a rejoint #debian-fr
sep 30 20:22:43 *	krionux_ est parti (Read error: 110 (Connection timed out))
sep 30 20:36:39 *	krionux__ est parti (Read error: 110 (Connection timed out))
sep 30 20:39:41 *	captainchris (n=captainc@ANice-256-1-10-75.w90-0.abo.wanadoo.fr) a rejoint #debian-fr
sep 30 20:40:31 *	mohra (n=mozz@std93-5-82-231-191-72.fbx.proxad.net) a rejoint #debian-fr
sep 30 20:41:22 *	mohra est parti (Client Quit)
sep 30 20:41:45 *	captainchris est parti (Remote closed the connection)
sep 30 20:41:47 *	virtuoso (n=s0t0na@ppp91-122-94-47.pppoe.avangard-dsl.ru) a rejoint #debian-fr
sep 30 20:47:55 *	TrueDD est parti (Read error: 104 (Connection reset by peer))
sep 30 20:50:33 *	krionux_ (n=seb@86.67.10.184) a rejoint #debian-fr
sep 30 20:51:34 *	TrueDD (n=dsimon@dan75-2-82-67-149-198.fbx.proxad.net) a rejoint #debian-fr
sep 30 20:54:28 *	virtuoso_ est parti (Read error: 110 (Connection timed out))
sep 30 21:06:05 *	krionux est parti (Read error: 110 (Connection timed out))
sep 30 21:11:41 *	UnMus (n=domi@88-138-6-148.adslgp.cegetel.net) a rejoint #debian-fr
sep 30 21:19:39 *	krionux (n=seb@86.67.10.191) a rejoint #debian-fr
sep 30 21:31:49 *	Saelynh (n=saelynh@cha92-11-82-243-247-67.fbx.proxad.net) a rejoint #debian-fr
sep 30 21:37:29 *	krionux_ est parti (Read error: 110 (Connection timed out))
sep 30 21:40:04 *	bydibule (n=bydi@23.168.102-84.rev.gaoland.net) a rejoint #debian-fr
sep 30 21:43:41 *	krionux_ (n=seb@86.67.10.197) a rejoint #debian-fr
sep 30 21:51:27 *	yoan (n=yoan@AClermont-Ferrand-257-1-19-57.w90-42.abo.wanadoo.fr) a rejoint #debian-fr
sep 30 21:59:13 *	krionux est parti (Read error: 110 (Connection timed out))
sep 30 22:14:56 *	UnMus est parti ("Connexion reset by beer")
sep 30 22:17:38 *	chpo (n=chpo@fny94-1-82-67-168-149.fbx.proxad.net) a rejoint #debian-fr
sep 30 22:31:35 *	gutts est parti ("WeeChat 0.2.6")
sep 30 22:32:02 *	Saelynh est parti ()
sep 30 22:32:55 *	krionux_ est parti (Read error: 110 (Connection timed out))
sep 30 22:38:48 *	bydibule est parti ("jvous sod la moule")
sep 30 22:41:46 *	fod (n=fod@31.75.90.202.dsl.dyn.mana.pf) a rejoint #debian-fr
sep 30 22:44:35 *	captainchris (n=captainc@ANice-256-1-10-75.w90-0.abo.wanadoo.fr) a rejoint #debian-fr
